"Time (s)","Channel 1 (V)","Channel 2 (V)"
0.0028157385177453,0.997618697453557,2.54150270340823
0.0028169885177453,0.997618697453557,2.54519300338465
0.0028182385177453,0.997618697453557,2.54150270340823
0.0028194885177453,0.993953132549596,2.54150270340823
0.0028207385177453,0.997618697453557,2.54150270340823
0.0028219885177453,0.990287567645635,2.54150270340823
0.0028232385177453,0.997618697453557,2.54150270340823
0.0028244885177453,1.00128426235752,2.54150270340823
0.0028257385177453,1.00128426235752,2.54519300338465
0.0028269885177453,0.993953132549596,2.54519300338465
0.0028282385177453,0.997618697453557,2.53781240343181
0.0028294885177453,1.00494982726148,2.54519300338465
0.0028307385177453,0.997618697453557,2.54519300338465
0.0028319885177453,1.00494982726148,2.5525736033375
0.0028332385177453,0.997618697453557,2.54519300338465
0.0028344885177453,1.00128426235752,2.54519300338465
0.0028357385177453,0.993953132549596,2.54519300338465
0.0028369885177453,0.990287567645635,2.54888330336107
0.0028382385177453,0.997618697453557,2.54519300338465
0.0028394885177453,0.993953132549596,2.54150270340823
0.0028407385177453,0.997618697453557,2.54888330336107
0.0028419885177453,1.00128426235752,2.54888330336107
0.0028432385177453,0.997618697453557,2.54519300338465
0.0028444885177453,0.997618697453557,2.54888330336107
0.0028457385177453,0.997618697453557,2.54150270340823
0.0028469885177453,0.997618697453557,2.54519300338465
0.0028482385177453,1.00128426235752,2.54150270340823
0.0028494885177453,0.993953132549596,2.54519300338465
0.0028507385177453,0.993953132549596,2.54519300338465
0.0028519885177453,0.997618697453557,2.54519300338465
0.0028532385177453,0.993953132549596,2.5525736033375
0.0028544885177453,0.993953132549596,2.54519300338465
0.0028557385177453,0.993953132549596,2.54519300338465
0.0028569885177453,0.997618697453557,2.54519300338465
0.0028582385177453,0.997618697453557,2.54519300338465
0.0028594885177453,0.997618697453557,2.54519300338465
0.0028607385177453,1.00128426235752,2.54519300338465
0.0028619885177453,0.993953132549596,2.54150270340823
0.0028632385177453,0.993953132549596,2.54519300338465
0.0028644885177453,0.993953132549596,2.54519300338465
0.0028657385177453,0.997618697453557,2.54150270340823
0.0028669885177453,0.993953132549596,2.54150270340823
0.0028682385177453,0.997618697453557,2.5525736033375
0.0028694885177453,1.00128426235752,2.54519300338465
0.0028707385177453,0.997618697453557,2.54519300338465
0.0028719885177453,0.997618697453557,2.54519300338465
0.0028732385177453,0.997618697453557,2.54519300338465
0.0028744885177453,1.00128426235752,2.54519300338465
0.0028757385177453,1.00494982726148,2.54519300338465
0.0028769885177453,0.997618697453557,2.54519300338465
0.0028782385177453,0.997618697453557,2.54519300338465
0.0028794885177453,0.997618697453557,2.54888330336107
0.0028807385177453,0.990287567645635,2.54150270340823
0.0028819885177453,0.993953132549596,2.54150270340823
0.0028832385177453,1.00128426235752,2.54150270340823
0.0028844885177453,0.990287567645635,2.54150270340823
0.0028857385177453,0.997618697453557,2.54519300338465
0.0028869885177453,0.993953132549596,2.54519300338465
0.0028882385177453,1.00128426235752,2.54519300338465
0.0028894885177453,0.997618697453557,2.54519300338465
0.0028907385177453,0.997618697453557,2.54150270340823
0.0028919885177453,0.993953132549596,2.54150270340823
0.0028932385177453,0.997618697453557,2.54519300338465
0.0028944885177453,1.00128426235752,2.54888330336107
0.0028957385177453,0.997618697453557,2.54519300338465
0.0028969885177453,0.997618697453557,2.54150270340823
0.0028982385177453,0.997618697453557,2.54519300338465
0.0028994885177453,0.997618697453557,2.54519300338465
0.0029007385177453,0.997618697453557,2.54150270340823
0.0029019885177453,1.00128426235752,2.54888330336107
0.0029032385177453,1.00128426235752,2.54519300338465
0.0029044885177453,0.997618697453557,2.54150270340823
0.0029057385177453,0.997618697453557,2.54150270340823
0.0029069885177453,0.997618697453557,2.54150270340823
0.0029082385177453,0.997618697453557,2.54519300338465
0.0029094885177453,0.993953132549596,2.54519300338465
0.0029107385177453,0.993953132549596,2.54888330336107
0.0029119885177453,0.993953132549596,2.54519300338465
0.0029132385177453,0.997618697453557,2.54150270340823
0.0029144885177453,0.997618697453557,2.54150270340823
0.0029157385177453,1.00128426235752,2.54150270340823
0.0029169885177453,0.997618697453557,2.54150270340823
0.0029182385177453,1.00128426235752,2.54150270340823
0.0029194885177453,0.993953132549596,2.54150270340823
0.0029207385177453,0.997618697453557,2.54519300338465
0.0029219885177453,1.00128426235752,2.54888330336107
0.0029232385177453,0.997618697453557,2.54519300338465
0.0029244885177453,0.993953132549596,2.54519300338465
0.0029257385177453,0.997618697453557,2.54150270340823
0.0029269885177453,0.993953132549596,2.54888330336107
0.0029282385177453,0.997618697453557,2.54519300338465
0.0029294885177453,1.00128426235752,2.54150270340823
0.0029307385177453,1.00128426235752,2.54519300338465
0.0029319885177453,0.993953132549596,2.54519300338465
0.0029332385177453,0.997618697453557,2.54519300338465
0.0029344885177453,0.997618697453557,2.54150270340823
0.0029357385177453,0.993953132549596,2.54519300338465
0.0029369885177453,0.997618697453557,2.54519300338465
0.0029382385177453,0.990287567645635,2.54519300338465
0.0029394885177453,0.990287567645635,2.54150270340823
0.0029407385177453,0.997618697453557,2.54519300338465
0.0029419885177453,0.990287567645635,2.54519300338465
0.0029432385177453,0.993953132549596,2.54519300338465
0.0029444885177453,1.00128426235752,2.54150270340823
0.0029457385177453,0.997618697453557,2.54519300338465
0.0029469885177453,0.997618697453557,2.54150270340823
0.0029482385177453,0.997618697453557,2.54519300338465
0.0029494885177453,0.997618697453557,2.54519300338465
0.0029507385177453,1.00128426235752,2.54519300338465
0.0029519885177453,1.00128426235752,2.54150270340823
0.0029532385177453,0.997618697453557,2.54519300338465
0.0029544885177453,0.997618697453557,2.54150270340823
0.0029557385177453,1.00128426235752,2.54150270340823
0.0029569885177453,0.997618697453557,2.54519300338465
0.0029582385177453,0.990287567645635,2.54519300338465
0.0029594885177453,0.997618697453557,2.54150270340823
0.0029607385177453,0.993953132549596,2.54150270340823
0.0029619885177453,0.997618697453557,2.54150270340823
0.0029632385177453,0.997618697453557,2.54519300338465
0.0029644885177453,0.993953132549596,2.54519300338465
0.0029657385177453,0.997618697453557,2.54519300338465
0.0029669885177453,0.993953132549596,2.54519300338465
0.0029682385177453,1.00128426235752,2.54519300338465
0.0029694885177453,0.990287567645635,2.54150270340823
0.0029707385177453,0.997618697453557,2.54519300338465
0.0029719885177453,1.00128426235752,2.54519300338465
0.0029732385177453,0.997618697453557,2.54150270340823
0.0029744885177453,0.997618697453557,2.54888330336107
0.0029757385177453,0.997618697453557,2.54888330336107
0.0029769885177453,0.997618697453557,2.54519300338465
0.0029782385177453,0.990287567645635,2.54519300338465
0.0029794885177453,0.997618697453557,2.54519300338465
0.0029807385177453,0.993953132549596,2.54150270340823
0.0029819885177453,0.997618697453557,2.54888330336107
0.0029832385177453,0.993953132549596,2.54519300338465
0.0029844885177453,0.993953132549596,2.54150270340823
0.0029857385177453,0.997618697453557,2.54150270340823
0.0029869885177453,0.997618697453557,2.54519300338465
0.0029882385177453,0.997618697453557,2.54519300338465
0.0029894885177453,0.993953132549596,2.54519300338465
0.0029907385177453,0.993953132549596,2.54519300338465
0.0029919885177453,0.993953132549596,2.54519300338465
0.0029932385177453,0.997618697453557,2.54519300338465
0.0029944885177453,0.997618697453557,2.54888330336107
0.0029957385177453,0.997618697453557,2.54888330336107
0.0029969885177453,0.997618697453557,2.54519300338465
0.0029982385177453,0.993953132549596,2.54519300338465
0.0029994885177453,0.997618697453557,2.54150270340823
0.0030007385177453,0.997618697453557,2.54519300338465
0.0030019885177453,0.997618697453557,2.54888330336107
0.0030032385177453,0.993953132549596,2.54519300338465
0.0030044885177453,0.997618697453557,2.54150270340823
0.0030057385177453,0.997618697453557,2.54888330336107
0.0030069885177453,0.997618697453557,2.54150270340823
0.0030082385177453,0.997618697453557,2.54519300338465
0.0030094885177453,0.993953132549596,2.54150270340823
0.0030107385177453,0.993953132549596,2.54519300338465
0.0030119885177453,0.993953132549596,2.54888330336107
0.0030132385177453,0.997618697453557,2.54150270340823
0.0030144885177453,1.00128426235752,2.54519300338465
0.0030157385177453,1.00128426235752,2.54519300338465
0.0030169885177453,0.997618697453557,2.54150270340823
0.0030182385177453,0.997618697453557,2.54150270340823
0.0030194885177453,0.993953132549596,2.54888330336107
0.0030207385177453,1.00128426235752,2.54888330336107
0.0030219885177453,0.997618697453557,2.54519300338465
0.0030232385177453,1.00128426235752,2.54150270340823
0.0030244885177453,1.00128426235752,2.54519300338465
0.0030257385177453,0.997618697453557,2.54519300338465
0.0030269885177453,0.990287567645635,2.54519300338465
0.0030282385177453,0.990287567645635,2.54150270340823
0.0030294885177453,0.990287567645635,2.54519300338465
0.0030307385177453,1.00128426235752,2.54519300338465
0.0030319885177453,0.997618697453557,2.54150270340823
0.0030332385177453,0.993953132549596,2.54519300338465
0.0030344885177453,0.990287567645635,2.54150270340823
0.0030357385177453,0.993953132549596,2.54150270340823
0.0030369885177453,0.997618697453557,2.54888330336107
0.0030382385177453,0.997618697453557,2.54519300338465
0.0030394885177453,0.990287567645635,2.54519300338465
0.0030407385177453,0.997618697453557,2.54519300338465
0.0030419885177453,0.997618697453557,2.54519300338465
0.0030432385177453,0.993953132549596,2.54519300338465
0.0030444885177453,0.993953132549596,2.54519300338465
0.0030457385177453,1.00128426235752,2.54150270340823
0.0030469885177453,0.993953132549596,2.54519300338465
0.0030482385177453,0.993953132549596,2.54150270340823
0.0030494885177453,0.993953132549596,2.54519300338465
0.0030507385177453,0.997618697453557,2.54888330336107
0.0030519885177453,0.993953132549596,2.54519300338465
0.0030532385177453,0.997618697453557,2.54888330336107
0.0030544885177453,0.993953132549596,2.54519300338465
0.0030557385177453,0.997618697453557,2.54150270340823
0.0030569885177453,0.993953132549596,2.54888330336107
0.0030582385177453,0.993953132549596,2.54519300338465
0.0030594885177453,0.993953132549596,2.54888330336107
0.0030607385177453,0.990287567645635,2.54150270340823
0.0030619885177453,0.993953132549596,2.54519300338465
0.0030632385177453,1.00128426235752,2.54519300338465
0.0030644885177453,1.00128426235752,2.54519300338465
0.0030657385177453,0.997618697453557,2.54888330336107
0.0030669885177453,0.997618697453557,2.54888330336107
0.0030682385177453,0.997618697453557,2.54888330336107
0.0030694885177453,0.993953132549596,2.54888330336107
0.0030707385177453,0.990287567645635,2.54519300338465
0.0030719885177453,0.993953132549596,2.54519300338465
0.0030732385177453,0.993953132549596,2.54519300338465
0.0030744885177453,0.997618697453557,2.54150270340823
0.0030757385177453,1.00128426235752,2.54150270340823
0.0030769885177453,0.993953132549596,2.54150270340823
0.0030782385177453,0.993953132549596,2.54519300338465
0.0030794885177453,0.997618697453557,2.54888330336107
0.0030807385177453,0.997618697453557,2.54519300338465
0.0030819885177453,1.00128426235752,2.54519300338465
0.0030832385177453,0.997618697453557,2.54150270340823
0.0030844885177453,0.997618697453557,2.54519300338465
0.0030857385177453,0.993953132549596,2.54519300338465
0.0030869885177453,0.997618697453557,2.54150270340823
0.0030882385177453,0.997618697453557,2.54519300338465
0.0030894885177453,0.997618697453557,2.54519300338465
0.0030907385177453,1.00494982726148,2.54519300338465
0.0030919885177453,0.997618697453557,2.54519300338465
0.0030932385177453,0.997618697453557,2.54519300338465
0.0030944885177453,0.997618697453557,2.54150270340823
0.0030957385177453,1.00128426235752,2.54519300338465
0.0030969885177453,1.00128426235752,2.54888330336107
0.0030982385177453,0.997618697453557,2.54519300338465
0.0030994885177453,0.990287567645635,2.54519300338465
0.0031007385177453,0.997618697453557,2.54150270340823
0.0031019885177453,0.997618697453557,2.54519300338465
0.0031032385177453,0.990287567645635,2.54519300338465
0.0031044885177453,0.997618697453557,2.5525736033375
0.0031057385177453,0.997618697453557,2.54150270340823
0.0031069885177453,1.00128426235752,2.54150270340823
0.0031082385177453,1.00128426235752,2.54150270340823
0.0031094885177453,0.997618697453557,2.54519300338465
0.0031107385177453,0.997618697453557,2.54519300338465
0.0031119885177453,0.993953132549596,2.54150270340823
0.0031132385177453,0.997618697453557,2.54519300338465
0.0031144885177453,0.993953132549596,2.54519300338465
0.0031157385177453,0.993953132549596,2.54519300338465
0.0031169885177453,0.990287567645635,2.54150270340823
